N,D,age,sex,year,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,lost,total,edagger,decile,age_2,check_death,check_pop
5319,99,62,1,1981,1,.01861252,.5,.01844091,.98155909,82728.538,1525.589,81965.744,1258230.7,15.209149,22650.913,1052788.7,10.527887,1,,,
5235,138,63,1,1981,1,.02636103,.5,.0260181,.9739819,81202.949,2112.746,80146.576,1176264.9,14.485495,29942.461,1052788.7,10.527887,1,,,
5877,144,64,1,1981,1,.0245023,.5,.02420575,.97579425,79090.203,1914.438,78132.984,1096118.3,13.859091,25892.358,1052788.7,10.527887,1,,,
5703,182,65,1,1981,1,.03191303,.5,.03141181,.96858819,77175.765,2424.23,75963.65,1017985.4,13.19048,31263.501,1052788.7,10.527887,1,,,
6129,175,66,1,1981,1,.02855278,.5,.02815089,.97184911,74751.535,2104.322,73699.374,942021.71,12.602038,25835.425,1052788.7,10.527887,1,,,
5613,198,67,1,1981,1,.03527525,.5,.03466387,.96533613,72647.213,2518.233,71388.096,868322.34,11.95259,29358.099,1052788.7,10.527887,1,,,
5727,211,68,1,1981,1,.03684302,.5,.0361766,.9638234,70128.98,2537.028,68860.466,796934.24,11.363836,28079.115,1052788.7,10.527887,1,,,
5493,248,69,1,1981,1,.04514837,.5,.04415168,.95584832,67591.952,2984.298,66099.803,728073.78,10.771605,31361.492,1052788.7,10.527887,1,,,
5199,243,70,1,1981,1,.04673976,.5,.0456724,.9543276,64607.654,2950.787,63132.26,661973.97,10.246061,29446.713,1052788.7,10.527887,1,,,
4992,273,71,1,1981,1,.0546875,.5,.05323194,.94676806,61656.867,3282.115,60015.81,598841.71,9.7124901,31086.468,1052788.7,10.527887,1,,,
4836,273,72,1,1981,1,.05645161,.5,.05490196,.94509804,58374.752,3204.888,56772.308,538825.9,9.2304615,28792.856,1052788.7,10.527887,1,,,
4536,297,73,1,1981,1,.06547619,.5,.06340058,.93659942,55169.864,3497.801,53420.964,482053.59,8.7376252,29788.805,1052788.7,10.527887,1,,,
4248,290,74,1,1981,1,.06826742,.5,.06601411,.93398589,51672.063,3411.085,49966.52,428632.63,8.2952491,27529.96,1052788.7,10.527887,1,,,
3891,300,75,1,1981,1,.077101,.5,.07423905,.92576095,48260.978,3582.849,46469.553,378666.11,7.8462172,27375.736,1052788.7,10.527887,1,,,
3492,257,76,1,1981,1,.07359679,.5,.07098467,.92901533,44678.128,3171.462,43092.397,332196.56,7.4353284,22835.439,1052788.7,10.527887,1,,,
3243,304,77,1,1981,1,.09374036,.5,.08954345,.91045655,41506.666,3716.65,39648.341,289104.16,6.9652465,25210.687,1052788.7,10.527887,1,,,
2988,246,78,1,1981,1,.08232932,.5,.07907425,.92092575,37790.016,2988.217,36295.908,249455.82,6.6011038,19014.134,1052788.7,10.527887,1,,,
2448,267,79,1,1981,1,.10906863,.5,.10342824,.89657176,34801.799,3599.489,33002.055,213159.91,6.1249682,21414.854,1052788.7,10.527887,1,,,
2163,296,80,1,1981,1,.13684697,.5,.12808308,.87191692,31202.31,3996.488,29204.066,180157.86,5.7738628,22625.012,1052788.7,10.527887,1,,,
1869,244,81,1,1981,1,.1305511,.5,.12255148,.87744852,27205.822,3334.114,25538.765,150953.79,5.5485841,18008.038,1052788.7,10.527887,1,,,
1434,214,82,1,1981,1,.14923291,.5,.13887086,.86112914,23871.708,3315.085,22214.166,125415.03,5.2537097,17029.642,1052788.7,10.527887,1,,,
1200,179,83,1,1981,1,.14916667,.5,.13881349,.86118651,20556.624,2853.537,19129.855,103200.86,5.0203215,13938.481,1052788.7,10.527887,1,,,
1152,177,84,1,1981,1,.15364583,.5,.1426844,.8573156,17703.087,2525.954,16440.11,84071.005,4.7489461,11625.769,1052788.7,10.527887,1,,,
4416,991,85,1,1981,,.22441123,4.4561049,1,0,15177.132,15177.13,67630.895,67630.895,4.4561049,,1052788.7,10.527887,1,,,
